"participant","version","source_cluster","block","trial_in_block","current_ap","current_hp","intact","nam_unn","rs_rt_n","key_resp_14.keys","key_resp_14.corr"
865,"A",7,7,8,"Nam2/inanimate06b_ap.jpg","Nam2/inanimate06c_hp.jpg","left","nam","RT","left",1
865,"A",7,7,9,"unn2/abstract08c_ap.jpg","unn2/abstract08b_hp.jpg","left","unn","N","left",1
865,"A",7,7,10,"Nam2/inanimate10b_ap.jpg","Nam2/inanimate10b_hp.jpg","right","nam","N","None",0
865,"A",7,7,11,"Nam2/inanimate02e_ap.jpg","Nam2/inanimate02e_hp.jpg","right","nam","RS","left",0
865,"A",7,7,12,"Nam2/inanimate06c_ap.jpg","Nam2/inanimate06b_hp.jpg","left","nam","RT","left",1
865,"A",7,7,13,"unn2/abstract02b_ap.jpg","unn2/abstract02b_hp.jpg","right","unn","RS","right",1
865,"A",7,7,14,"unn2/abstract05b_ap.jpg","unn2/abstract05c_hp.jpg","left","unn","RT","left",1
865,"A",7,7,15,"unn2/abstract08b_ap.jpg","unn2/abstract08b_hp.jpg","right","unn","N","right",1
865,"A",7,7,16,"Nam2/inanimate02d_ap.jpg","Nam2/inanimate02e_hp.jpg","left","nam","RS","left",1
865,"A",7,7,17,"unn2/abstract02c_ap.jpg","unn2/abstract02c_hp.jpg","right","unn","RS","right",1
865,"A",7,7,18,"Nam2/inanimate10c_ap.jpg","Nam2/inanimate10b_hp.jpg","left","nam","N","left",1
865,"A",7,7,19,"unn2/abstract05c_ap.jpg","unn2/abstract05b_hp.jpg","left","unn","RT","right",0
865,"A",7,7,20,"Nam2/inanimate06b_ap.jpg","Nam2/inanimate06b_hp.jpg","right","nam","RT","right",1
865,"A",7,7,21,"unn2/abstract08c_ap.jpg","unn2/abstract08c_hp.jpg","right","unn","N","right",1
865,"A",7,7,22,"Nam2/inanimate10b_ap.jpg","Nam2/inanimate10c_hp.jpg","left","nam","N","left",1
865,"A",7,7,23,"Nam2/inanimate02e_ap.jpg","Nam2/inanimate02d_hp.jpg","left","nam","RS","left",1
865,"A",7,7,24,"Nam2/inanimate06c_ap.jpg","Nam2/inanimate06c_hp.jpg","right","nam","RT","right",1
865,"A",8,8,1,"unn2/abstract03d_ap.jpg","unn2/abstract03e_hp.jpg","left","unn","RS","left",1
865,"A",8,8,2,"unn2/abstract06d_ap.jpg","unn2/abstract06d_hp.jpg","right","unn","RT","right",1
865,"A",8,8,3,"unn2/abstract09d_ap.jpg","unn2/abstract09e_hp.jpg","left","unn","N","left",1
865,"A",8,8,4,"Nam2/inanimate03d_ap.jpg","Nam2/inanimate03d_hp.jpg","right","nam","RS","right",1
865,"A",8,8,5,"unn2/abstract03e_ap.jpg","unn2/abstract03d_hp.jpg","left","unn","RS","left",1
865,"A",8,8,6,"Nam2/inanimate10e_ap.jpg","Nam2/inanimate10e_hp.jpg","right","nam","N","right",1
